question,difficulty_component,difficulty,table_name,column_name
"How many sales representatives have processed a higher than average number of territories as of the latest available date, and what are their work emails?",OR and AVG,Hard,SALESFORCE_TRANSACTIONS,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the email addresses of producers who have a count of processed status occurrences greater than a specific threshold on a certain date?,WHERE and AVG,Hard,SALESFORCE_ACCOUNT_CONTACT_ASSOC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have a count of e-mails greater than a certain threshold for a given date range?,MIN and SUM,Hard,SALES_USER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify the producers whose total number of processed requests exceeds a particular threshold within a specified timeframe?,MAX and LIKE,Hard,SALESFORCE_STATIC_ESC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the email addresses of the producers who have consistently processed more than a certain number of transactions every month throughout the last year?,LIKE and LIKE,Hard,SALESFORCE_ACCOUNT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the email addresses that appear more frequently than a specified threshold for the latest date entries in the sales force territory data?,MAX and WHERE,Hard,SALESFORCE_TRANSACTION_PPA_ROLLUP,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the producers whose email processing statuses have been updated more than three times on the same date?,ORDER BY and JOIN,Hard,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can we identify any sales territories where the number of unique producers exceeds a certain threshold as of the most recent reporting date?,ORDER BY and MAX,Hard,SALESFORCE_ACCOUNT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which territories have more than a certain number of producers with the same processed status as of the latest date?,OR and OR and ORDER BY,Extremely Hard,SALES_PRODUCER_POLICY_ASSIGNMENT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can we identify any specific representatives whose total number of processed sales territories exceeds a certain threshold as of the most recent update?,SUM and ORDER BY and COUNT,Extremely Hard,SALESFORCE_AGENT_CONTACT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the unique producer identifiers that have a total number of processed entries above a certain threshold within a specific timeframe?,OR and SUM and ORDER BY,Extremely Hard,SALESFORCE_TRANSACTION_PPA_ROLLUP,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the email contacts for producers where the total number of entries with processed statuses exceed five as of the latest update?,HAVING and AVG and AVG,Extremely Hard,SALESFORCE_TRANSACTION_PPA_ROLLUP,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the unique producer IDs that have more than one associated email address type updated on the most recent date?,AVG and HAVING and GROUP BY,Extremely Hard,SALESFORCE_STATIC_TERRITORY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have a total number of producers that exceed a specified threshold up to the latest available date?,MIN and WHERE and LIMIT,Extremely Hard,SALES_INSURANCE_POLICY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers' information as of a specific date has been processed more than once?,LIMIT and COUNT and AVG,Extremely Hard,SALES_POLICY_TRANSACTION_PPA_AFFILIATION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers' email addresses have been processed more than a specific number of times up to a certain date?,ORDER BY and WHERE and WHERE,Extremely Hard,SALES_PRODUCER_POLICY_ASSIGNMENT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can we identify the producers who have an average number of territories above a certain threshold within a specified period?,MAX and LIMIT and ORDER BY,Extremely Hard,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which territories have had a change in their assigned sales representative more than three times up to the current date?,LIMIT and MIN and MAX,Extremely Hard,SALESFORCE_TRANSACTIONS,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales representatives have processed a higher number of territories than the average within a specified time frame?,WHERE and MAX and COUNT,Extremely Hard,SALESFORCE_TRANSACTION_PPA_ROLLUP,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the sales territories where the count of producers with incomplete processing exceeds a certain threshold as of the latest date?,WHERE and MIN and SUM,Extremely Hard,SALES_POLICY_TRANSACTION_PPA_AFFILIATION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which territory's salesforce has an average email response volume greater than a specified threshold within a certain time frame?,GROUP BY and MIN and COUNT,Extremely Hard,SALESFORCE_AGENT_CONTACT_MSTR,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales producers have processed a total number of territories above a specific threshold as of the latest date in our records?,JOIN and WHERE and JOIN,Extremely Hard,SALESFORCE_CONTACT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify the producers whose email addresses have been processed multiple times on the same date?,MIN and MAX and MAX,Extremely Hard,SALES_POLICY_TRANSACTION_PPA_AFFILIATION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have more than a certain number of producers where the processed status is up to date as of the most recent date?,WHERE and SUM and SUM,Extremely Hard,SALESFORCE_AGENT_CONTACT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What is the list of producers who have been processed more than a specified number of times as of the latest date?,WHERE and WHERE and LIKE,Extremely Hard,SALES_PRODUCER_POLICY_ASSIGNMENT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
"Which producers' territories have consistently processed updates, without missing any, as of the latest available date?",AVG and MIN and SUM,Extremely Hard,SALESFORCE_AGENT_LICENSE,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the unique identifiers of the sales territories where the number of distinct processed statuses is greater than a specified threshold as of the most recent available date?,MAX and LIMIT and AVG,Extremely Hard,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have a processed status count exceeding a certain threshold as of the most recent date?,SUM and OR and AVG,Extremely Hard,SALES_INSURANCE_POLICY_TRANSACTION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have had their details processed more than three times as of the latest date?,HAVING and OR and AVG,Extremely Hard,SALES_ACCOUNT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producer territories have a count of processed entries exceeding a certain threshold as of the most recent date available in the records?,MAX and MIN and LIMIT,Extremely Hard,SALESFORCE_AGENT_CONTACT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify the producers who have more than a fixed number of records indicating incomplete processing as of the latest date in the dataset?,HAVING and LIKE and SUM,Extremely Hard,SALESFORCE_AGENT_LICENSE,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you determine if there are any sales territories where the number of different producers with a fully processed status exceeds a certain threshold as of the latest available reporting date?,LIKE and AVG and ORDER BY,Extremely Hard,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
